Creation_Date;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL)
20260501;546078;NL0010273215;ASML.AS;ASML HLDG;NL;EUR;Euronext Amsterdam;Large;1
20260501;40054;GB0005405286;HSBA.L;HSBC;GB;GBP;London SE;Large;2
20260501;98952;GB0009895292;AZN.L;ASTRAZENECA;GB;GBP;London SE;Large;3
20260501;474577;CH0012032048;ROPC.S;ROCHE PS;CH;CHF;Six Swiss Exchange;Large;4
20260501;477408;CH0012005267;NOVN.S;NOVARTIS;CH;CHF;Six Swiss Exchange;Large;5
20260501;461669;CH0038863350;NESN.S;NESTLE;CH;CHF;Six Swiss Exchange;Large;6
20260501;B09CBL;GB00BP6MXD84;SHEL.AS;SHELL;GB;EUR;Euronext Amsterdam;Large;7
20260501;480710;DE0007236101;SIEGn.DE;SIEMENS;DE;EUR;XETRA;Large;8
20260501;490541;FR0000120271;TTEF.PA;TOTALENERGIES;FR;EUR;Euronext Paris;Large;9
20260501;483410;FR0000121972;SCHN.PA;SCHNEIDER ELECTRIC;FR;EUR;Euronext Paris;Large;10
20260501;407228;ES0113900J37;SAN.MC;BCO SANTANDER;ES;EUR;BME Exchange;Large;11
20260501;476361;DE0007164600;SAPG.DE;SAP;DE;EUR;XETRA;Large;12
20260501;401632;DE0008404005;ALVG.DE;ALLIANZ;DE;EUR;XETRA;Large;13
20260501;DE004V;DE000ENER6Y0;ENR1n.DE;SIEMENS ENERGY;DE;EUR;XETRA;Large;14
20260501;408580;CH0012221716;ABBN.S;ABB;CH;CHF;Six Swiss Exchange;Large;15
20260501;442464;ES0144580Y14;IBE.MC;IBERDROLA;ES;EUR;BME Exchange;Large;16
20260501;465191;DK0060534915;NOVOb.CO;NOVO NORDISK B;DK;DKK;NASDAQ Copenhagen;Large;17
20260501;478511;CH0244767585;UBSG.S;UBS GROUP;CH;CHF;Six Swiss Exchange;Large;18
20260501;74776;GB00B63H8491;RR.L;ROLLS ROYCE HLDG;GB;GBP;London SE;Large;19
20260501;454005;FR0000121014;LVMH.PA;LVMH MOET HENNESSY;FR;EUR;Euronext Paris;Large;20
20260501;13849;GB0007980591;BP.L;BP;GB;GBP;London SE;Large;21
20260501;28758;GB0002875804;BATS.L;BRITISH AMERICAN TOBACCO;GB;GBP;London SE;Large;22
20260501;91321;GB00B10RZP78;ULVR.L;UNILEVER PLC;GB;GBP;London SE;Large;23
20260501;550190;ES0113211835;BBVA.MC;BCO BILBAO VIZCAYA ARGENTARIA;ES;EUR;BME Exchange;Large;24
20260501;401140;FR0000120073;AIRP.PA;AIR LIQUIDE;FR;EUR;Euronext Paris;Large;25
20260501;401225;NL0000235190;AIR.PA;AIRBUS;FR;EUR;Euronext Paris;Large;26
20260501;476776;FR0000073272;SAF.PA;SAFRAN;FR;EUR;Euronext Paris;Large;27
20260501;423244;IT0005239360;CRDI.MI;UNICREDIT;IT;EUR;Borsa Italiana;Large;28
20260501;511938;DE0005557508;DTEGn.DE;DEUTSCHE TELEKOM;DE;EUR;XETRA;Large;29
20260501;413366;FR0000131104;BNPP.PA;BNP PARIBAS;FR;EUR;Euronext Paris;Large;30
20260501;71887;GB0007188757;RIO.L;RIO TINTO;GB;GBP;London SE;Large;31
20260501;37178;GB00BN7SWP63;GSK.L;GSK;GB;GBP;London SE;Large;32
20260501;477518;FR0000120578;SASY.PA;SANOFI;FR;EUR;Euronext Paris;Large;33
20260501;407683;IT0000072618;ISP.MI;INTESA SANPAOLO;IT;EUR;Borsa Italiana;Large;34
20260501;453478;FR0000120321;OREP.PA;L'OREAL;FR;EUR;Euronext Paris;Large;35
20260501;473821;CH0210483332;CFR.S;CIE FINANCIERE RICHEMONT;CH;CHF;Six Swiss Exchange;Large;36
20260501;499187;CH0011075394;ZURN.S;ZURICH INSURANCE GROUP;CH;CHF;Six Swiss Exchange;Large;37
20260501;24282;GB00BDR05C01;NG.L;NATIONAL GRID;GB;GBP;London SE;Large;38
20260501;579802;IT0003128367;ENEI.MI;ENEL;IT;EUR;Borsa Italiana;Large;39
20260501;481808;FR0000125486;SGEF.PA;VINCI;FR;EUR;Euronext Paris;Large;40
20260501;588950;DE0006231004;IFXGn.DE;INFINEON TECHNOLOGIES;DE;EUR;XETRA;Large;41
20260501;448816;NL0011821202;INGA.AS;ING GRP;NL;EUR;Euronext Amsterdam;Large;42
20260501;458887;FR0000120628;AXAF.PA;AXA;FR;EUR;Euronext Paris;Large;43
20260501;12715;GB0002634946;BAES.L;BAE SYSTEMS;GB;GBP;London SE;Large;44
20260501;7820;GB0031348658;BARC.L;BARCLAYS;GB;GBP;London SE;Large;45
20260501;87061;GB0008706128;LLOY.L;LLOYDS BANKING GRP;GB;GBP;London SE;Large;46
20260501;461075;DE0008430026;MUVGn.DE;MUENCHENER RUECK;DE;EUR;XETRA;Large;47
20260501;475531;BE0974293251;ABI.BR;ANHEUSER-BUSCH INBEV;BE;EUR;Euronext Brussels;Large;48
